id,Jugadores,F_Nacim_Edad,Club,Altura,Pie,Partidos_con_la_seleccion,Goles,Numero_de_camisa,anio,posicion,activo,imagen
176,Mateo Cassierra,13/04/1997 (25),Zenit de San Petersburgo,1.86m,Derecho,3,1,18,2023,Delantero,True,
177,Roger Martínez,23/06/1994 (28),Al-Taawoun FC,1.80m,Derecho,28,4,40,2023,Delantero,True,
178,Radamel Falcao,10/02/1986 (36),Millonarios FC,1.77m,Derecho,105,36,9,2023,Delantero,True,
179,Diber Cambindo,17/02/1996 (26),Club Necaxa,1.88m,Derecho,2,0,19,2023,Delantero,True,
180,Kevin Mier,18/05/2000 (23),CD Cruz Azul,1.87m,Derecho,0,0,26,2024,Arquero,True,
181,Álvaro Montero,29/03/1995 (28),Millonarios FC,1.99m,Derecho,8,0,12,2024,Arquero,True,
182,David Ospina,31/08/1988 (35),Atlético Nacional,1.83m,Derecho,129,0,1,2024,Arquero,True,
183,Camilo Vargas,09/03/1989 (34),Atlas Guadalajara,1.85m,Izquierdo,37,0,12,2024,Arquero,True,
184,Davinson Sánchez,12/06/1996 (27),Galatasaray,1.87m,Derecho,69,3,23,2024,Defensa,True,
185,Jhon Lucumí,26/06/1998 (25),Bolonia,1.87m,Izquierdo,28,0,3,2024,Defensa,True,
186,Carlos Cuesta,09/03/1999 (24),Galatasaray,1.79m,Derecho,23,0,2,2024,Mediocampista,True,
187,Yerry Mina,23/09/1994 (29),Cagliari,1.95m,Derecho,49,7,13,2024,Defensa,True,
188,Willer Ditta,23/01/1998 (25),CD Cruz Azul,1.79m,Derecho,2,0,15,2024,Defensa,True,
189,Yerson Mosquera,02/05/2001 (22),Wolverhampton Wanderers,1.88m,Derecho,4,1,22,2024,Defensa,True,
190,Deiver Machado,02/09/1993 (30),RC Lens,1.80m,Izquierdo,11,0,17,2024,Defensa,True,
191,Johan Mojica,21/08/1992 (31),RCD Mallorca,1.85m,Izquierdo,38,1,4,2024,Defensa,True,
192,Juan Cabal,08/01/2001 (22),Juventus de Turín,1.86m,Izquierdo,2,0,25,2024,Defensa,True,
193,Cristián Borja,18/02/1993 (30),CF América,1.79m,Izquierdo,8,0,6,2024,Defensa,True,
194,Gabriel Fuentes,09/02/1997 (26),Fluminense Football Club,1.80m,Izquierdo,0,0,20,2024,Defensa,True,
195,Daniel Muñoz,26/05/1996 (27),Crystal Palace,1.81m,Derecho,38,3,21,2024,Defensa,True,
196,Santiago Arias,13/01/1992 (31),Esporte Clube Bahia,1.78m,Derecho,62,0,4,2024,Defensa,True,
197,Andrés Felipe Román,05/10/1995 (28),Atlético Nacional,1.83m,Derecho,1,0,16,2024,Defensa,True,
198,Jefferson Lerma,25/10/1994 (29),Crystal Palace,1.79m,Derecho,54,3,16,2024,Mediocampista,True,
199,Matheus Uribe,21/03/1991 (32),Atlético Nacional,1.82m,Derecho,62,6,15,2024,Mediocampista,True,
200,Kevin Castaño,29/09/2000 (23),CA River Plate,1.77m,Derecho,17,0,5,2024,Mediocampista,True,
201,Richard Ríos,02/06/2000 (23),SE Palmeiras,1.87m,Derecho,21,2,6,2024,Mediocampista,True,
202,Juan Portilla,12/09/1998 (25),CA Talleres,1.83m,Derecho,3,0,8,2024,Mediocampista,True,
203,Sebastián Gómez,03/06/1996 (27),Coritiba Foot Ball Club,1.77m,Izquierdo,2,0,18,2024,Mediocampista,True,
204,Gustavo Puerta,23/07/2003 (20),Hull City,1.73m,Derecho,0,0,14,2024,Mediocampista,True,
205,Jorge Carrascal,25/05/1998 (25),Dinamo Moscú,1.80m,Derecho,19,2,10,2024,Mediocampista,True,
206,James Rodríguez,12/07/1991 (32),Club León FC,1.80m,Izquierdo,114,29,10,2024,Mediocampista,True,
207,Juan Fernando Quintero,18/01/1993 (30),CD América de Cali,1.68m,Izquierdo,41,5,11,2024,Mediocampista,True,
208,Luis Díaz,13/01/1997 (26),Liverpool FC,1.80m,Derecho,63,18,7,2024,Delantero,True,
209,Luis Sinisterra,17/06/1999 (24),AFC Bournemouth,1.72m,Derecho,18,5,9,2024,Delantero,True,
210,Jhon Arias,21/09/1997 (26),Fluminense Football Club,1.68m,Derecho,29,3,11,2024,Mediocampista,True,
211,Yáser Asprilla,19/11/2003 (20),Girona FC,1.76m,Izquierdo,8,2,24,2024,Delantero,True,
212,Carlos Andrés Gómez,12/09/2002 (21),Stade Rennais FC,1.71m,Derecho,4,2,19,2024,Delantero,True,
213,Jhon Durán,13/12/2003 (20),Al-Nassr FC,1.85m,Izquierdo,16,3,14,2024,Delantero,True,
214,Cucho Hernández,20/04/1999 (24),Real Betis Balompié,1.76m,Derecho,5,2,17,2024,Delantero,True,
215,Jhon Córdoba,11/05/1993 (30),FK Krasnodar,1.88m,Derecho,16,4,19,2024,Delantero,True,
216,Mateo Cassierra,13/04/1997 (26),Zenit de San Petersburgo,1.86m,Derecho,3,1,18,2024,Delantero,True,
217,Rafael Borré,15/09/1995 (28),Sport Club Internacional,1.74m,Derecho,40,6,19,2024,Delantero,True,
218,Miguel Borja,26/01/1993 (30),CA River Plate,1.84m,Derecho,30,9,20,2024,Delantero,True,
219,Roger Martínez,23/06/1994 (29),Al-Taawoun FC,1.80m,Derecho,28,4,26,2024,Delantero,True,
220,sergio motoa,30,millonarios,1.72,Derecho,25,1,0,2024,mediocampista,True,
